#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   6.8950252E+06   6.8950252E+06   9.1918682E+06   1.1089490E+04   6.7750065E+05   6.8951426E+06   6.8950252E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   6.8950232E+06   6.8950232E+06   9.1914776E+06   1.1089197E+04   6.7749077E+05   6.8951404E+06   6.8950232E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   6.8950207E+06   6.8950207E+06   9.1909858E+06   1.1088828E+04   6.7747832E+05   6.8951378E+06   6.8950207E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   6.8950176E+06   6.8950176E+06   9.1903667E+06   1.1088363E+04   6.7746265E+05   6.8951344E+06   6.8950176E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   6.8950136E+06   6.8950136E+06   9.1895874E+06   1.1087777E+04   6.7744292E+05   6.8951301E+06   6.8950136E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   6.8950086E+06   6.8950086E+06   9.1886064E+06   1.1087040E+04   6.7741810E+05   6.8951248E+06   6.8950086E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   6.8950024E+06   6.8950024E+06   9.1873716E+06   1.1086112E+04   6.7738685E+05   6.8951180E+06   6.8950024E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   6.8949945E+06   6.8949945E+06   9.1858172E+06   1.1084945E+04   6.7734752E+05   6.8951096E+06   6.8949945E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   6.8949846E+06   6.8949846E+06   9.1838607E+06   1.1083475E+04   6.7729802E+05   6.8950989E+06   6.8949846E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   6.8949721E+06   6.8949721E+06   9.1813982E+06   1.1081624E+04   6.7723572E+05   6.8950855E+06   6.8949721E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   6.8949563E+06   6.8949563E+06   9.1782990E+06   1.1079295E+04   6.7715734E+05   6.8950685E+06   6.8949563E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   6.8949365E+06   6.8949365E+06   9.1743988E+06   1.1076364E+04   6.7705872E+05   6.8950473E+06   6.8949365E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   6.8949116E+06   6.8949116E+06   9.1694909E+06   1.1072675E+04   6.7693466E+05   6.8950205E+06   6.8949116E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   6.8948802E+06   6.8948802E+06   9.1633158E+06   1.1068033E+04   6.7677862E+05   6.8949867E+06   6.8948802E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   6.8948407E+06   6.8948407E+06   9.1555475E+06   1.1062193E+04   6.7658243E+05   6.8949443E+06   6.8948407E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   6.8947910E+06   6.8947910E+06   9.1457767E+06   1.1054845E+04   6.7633582E+05   6.8948908E+06   6.8947910E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   6.8947284E+06   6.8947284E+06   9.1334901E+06   1.1045603E+04   6.7602595E+05   6.8948235E+06   6.8947284E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   6.8946497E+06   6.8946497E+06   9.1180447E+06   1.1033980E+04   6.7563679E+05   6.8947389E+06   6.8946497E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   6.8945506E+06   6.8945506E+06   9.0986356E+06   1.1019367E+04   6.7514837E+05   6.8946323E+06   6.8945506E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   6.8944259E+06   6.8944259E+06   9.0742570E+06   1.1001003E+04   6.7453586E+05   6.8944983E+06   6.8944259E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   6.8942690E+06   6.8942690E+06   9.0436550E+06   1.0977934E+04   6.7376849E+05   6.8943296E+06   6.8942690E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   6.8940716E+06   6.8940716E+06   9.0052696E+06   1.0948970E+04   6.7280832E+05   6.8941174E+06   6.8940716E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   6.8938234E+06   6.8938234E+06   8.9571667E+06   1.0912633E+04   6.7160885E+05   6.8938506E+06   6.8938234E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
