#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.0118948E+07   1.0118948E+07   1.3488660E+07   1.0898247E+04   2.4018853E+06   1.0119019E+07   1.0118948E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.0118945E+07   1.0118945E+07   1.3487809E+07   1.0897812E+04   2.4018464E+06   1.0119016E+07   1.0118945E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.0118941E+07   1.0118941E+07   1.3486738E+07   1.0897264E+04   2.4017974E+06   1.0119012E+07   1.0118941E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.0118936E+07   1.0118936E+07   1.3485390E+07   1.0896574E+04   2.4017357E+06   1.0119007E+07   1.0118936E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.0118930E+07   1.0118930E+07   1.3483692E+07   1.0895706E+04   2.4016581E+06   1.0119000E+07   1.0118930E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.0118922E+07   1.0118922E+07   1.3481555E+07   1.0894613E+04   2.4015604E+06   1.0118992E+07   1.0118922E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.0118912E+07   1.0118912E+07   1.3478866E+07   1.0893238E+04   2.4014374E+06   1.0118981E+07   1.0118912E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.0118900E+07   1.0118900E+07   1.3475481E+07   1.0891506E+04   2.4012827E+06   1.0118968E+07   1.0118900E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.0118884E+07   1.0118884E+07   1.3471220E+07   1.0889326E+04   2.4010879E+06   1.0118951E+07   1.0118884E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.0118864E+07   1.0118864E+07   1.3465858E+07   1.0886583E+04   2.4008429E+06   1.0118930E+07   1.0118864E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.0118839E+07   1.0118839E+07   1.3459111E+07   1.0883130E+04   2.4005346E+06   1.0118904E+07   1.0118839E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.0118808E+07   1.0118808E+07   1.3450622E+07   1.0878786E+04   2.4001469E+06   1.0118871E+07   1.0118808E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.0118769E+07   1.0118769E+07   1.3439941E+07   1.0873319E+04   2.3996593E+06   1.0118829E+07   1.0118769E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.0118719E+07   1.0118719E+07   1.3426507E+07   1.0866442E+04   2.3990463E+06   1.0118776E+07   1.0118719E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.0118657E+07   1.0118657E+07   1.3409612E+07   1.0857790E+04   2.3982760E+06   1.0118710E+07   1.0118657E+07   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
