#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   1.3954657E+06   1.3954657E+06   1.8605631E+06   1.3171445E+04   2.6591284E+03   1.3959681E+06   1.3954657E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   1.3954654E+06   1.3954654E+06   1.8605478E+06   1.3171375E+04   2.6590798E+03   1.3959678E+06   1.3954654E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   1.3954651E+06   1.3954651E+06   1.8605285E+06   1.3171287E+04   2.6590186E+03   1.3959674E+06   1.3954651E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   1.3954646E+06   1.3954646E+06   1.8605042E+06   1.3171176E+04   2.6589415E+03   1.3959669E+06   1.3954646E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   1.3954641E+06   1.3954641E+06   1.8604736E+06   1.3171036E+04   2.6588444E+03   1.3959663E+06   1.3954641E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   1.3954634E+06   1.3954634E+06   1.8604350E+06   1.3170859E+04   2.6587222E+03   1.3959655E+06   1.3954634E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   1.3954625E+06   1.3954625E+06   1.8603865E+06   1.3170637E+04   2.6585684E+03   1.3959645E+06   1.3954625E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   1.3954614E+06   1.3954614E+06   1.8603255E+06   1.3170358E+04   2.6583748E+03   1.3959633E+06   1.3954614E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   1.3954601E+06   1.3954601E+06   1.8602487E+06   1.3170006E+04   2.6581311E+03   1.3959618E+06   1.3954601E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   1.3954583E+06   1.3954583E+06   1.8601519E+06   1.3169564E+04   2.6578243E+03   1.3959598E+06   1.3954583E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   1.3954562E+06   1.3954562E+06   1.8600301E+06   1.3169006E+04   2.6574381E+03   1.3959573E+06   1.3954562E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   1.3954534E+06   1.3954534E+06   1.8598768E+06   1.3168305E+04   2.6569519E+03   1.3959543E+06   1.3954534E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   1.3954500E+06   1.3954500E+06   1.8596838E+06   1.3167421E+04   2.6563400E+03   1.3959504E+06   1.3954500E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   1.3954456E+06   1.3954456E+06   1.8594409E+06   1.3166309E+04   2.6555698E+03   1.3959455E+06   1.3954456E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   1.3954402E+06   1.3954402E+06   1.8591351E+06   1.3164910E+04   2.6546005E+03   1.3959393E+06   1.3954402E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   1.3954333E+06   1.3954333E+06   1.8587502E+06   1.3163148E+04   2.6533806E+03   1.3959315E+06   1.3954333E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   1.3954246E+06   1.3954246E+06   1.8582657E+06   1.3160930E+04   2.6518454E+03   1.3959217E+06   1.3954246E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   1.3954137E+06   1.3954137E+06   1.8576560E+06   1.3158138E+04   2.6499139E+03   1.3959094E+06   1.3954137E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   1.3954000E+06   1.3954000E+06   1.8568886E+06   1.3154625E+04   2.6474838E+03   1.3958939E+06   1.3954000E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   1.3953827E+06   1.3953827E+06   1.8559230E+06   1.3150203E+04   2.6444272E+03   1.3958744E+06   1.3953827E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   1.3953609E+06   1.3953609E+06   1.8547080E+06   1.3144639E+04   2.6405832E+03   1.3958499E+06   1.3953609E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   1.3953335E+06   1.3953335E+06   1.8531794E+06   1.3137638E+04   2.6357505E+03   1.3958190E+06   1.3953335E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   1.3952991E+06   1.3952991E+06   1.8512567E+06   1.3128829E+04   2.6296770E+03   1.3957801E+06   1.3952991E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
