#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   2.6521972E+06   2.6521972E+06   3.5360445E+06   1.2417523E+04   2.6295500E+04   2.6525029E+06   2.6521972E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   2.6521966E+06   2.6521966E+06   3.5359871E+06   1.2417398E+04   2.6295086E+04   2.6525022E+06   2.6521966E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   2.6521958E+06   2.6521958E+06   3.5359149E+06   1.2417242E+04   2.6294566E+04   2.6525013E+06   2.6521958E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   2.6521949E+06   2.6521949E+06   3.5358239E+06   1.2417045E+04   2.6293911E+04   2.6525002E+06   2.6521949E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   2.6521936E+06   2.6521936E+06   3.5357094E+06   1.2416796E+04   2.6293086E+04   2.6524989E+06   2.6521936E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   2.6521921E+06   2.6521921E+06   3.5355653E+06   1.2416484E+04   2.6292048E+04   2.6524972E+06   2.6521921E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   2.6521901E+06   2.6521901E+06   3.5353838E+06   1.2416090E+04   2.6290741E+04   2.6524950E+06   2.6521901E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   2.6521877E+06   2.6521877E+06   3.5351554E+06   1.2415595E+04   2.6289096E+04   2.6524923E+06   2.6521877E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   2.6521846E+06   2.6521846E+06   3.5348678E+06   1.2414971E+04   2.6287025E+04   2.6524888E+06   2.6521846E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   2.6521807E+06   2.6521807E+06   3.5345058E+06   1.2414186E+04   2.6284418E+04   2.6524845E+06   2.6521807E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   2.6521758E+06   2.6521758E+06   3.5340502E+06   1.2413198E+04   2.6281137E+04   2.6524791E+06   2.6521758E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   2.6521696E+06   2.6521696E+06   3.5334766E+06   1.2411953E+04   2.6277008E+04   2.6524722E+06   2.6521696E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   2.6521618E+06   2.6521618E+06   3.5327546E+06   1.2410387E+04   2.6271811E+04   2.6524636E+06   2.6521618E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   2.6521520E+06   2.6521520E+06   3.5318460E+06   1.2408416E+04   2.6265271E+04   2.6524527E+06   2.6521520E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   2.6521397E+06   2.6521397E+06   3.5307023E+06   1.2405935E+04   2.6257041E+04   2.6524390E+06   2.6521397E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   2.6521242E+06   2.6521242E+06   3.5292630E+06   1.2402812E+04   2.6246688E+04   2.6524218E+06   2.6521242E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   2.6521047E+06   2.6521047E+06   3.5274518E+06   1.2398882E+04   2.6233664E+04   2.6524002E+06   2.6521047E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   2.6520801E+06   2.6520801E+06   3.5251729E+06   1.2393936E+04   2.6217284E+04   2.6523729E+06   2.6520801E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   2.6520492E+06   2.6520492E+06   3.5223058E+06   1.2387713E+04   2.6196689E+04   2.6523386E+06   2.6520492E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   2.6520103E+06   2.6520103E+06   3.5186995E+06   1.2379883E+04   2.6170802E+04   2.6522954E+06   2.6520103E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   2.6519613E+06   2.6519613E+06   3.5141643E+06   1.2370034E+04   2.6138278E+04   2.6522410E+06   2.6519613E+06   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
