#           k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   1.0537954E-05   6.2390025E+05   6.2390025E+05   8.3185653E+05   1.3259277E+04   1.8516305E+02   6.2465604E+05   6.2390025E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-05   6.2390016E+05   6.2390016E+05   8.3185369E+05   1.3259246E+04   1.8516009E+02   6.2465594E+05   6.2390016E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-05   6.2390004E+05   6.2390004E+05   8.3185012E+05   1.3259207E+04   1.8515637E+02   6.2465580E+05   6.2390004E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-05   6.2389989E+05   6.2389989E+05   8.3184563E+05   1.3259157E+04   1.8515168E+02   6.2465563E+05   6.2389989E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-05   6.2389971E+05   6.2389971E+05   8.3183997E+05   1.3259095E+04   1.8514578E+02   6.2465542E+05   6.2389971E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-05   6.2389947E+05   6.2389947E+05   8.3183285E+05   1.3259016E+04   1.8513835E+02   6.2465515E+05   6.2389947E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-05   6.2389918E+05   6.2389918E+05   8.3182388E+05   1.3258917E+04   1.8512900E+02   6.2465481E+05   6.2389918E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-05   6.2389881E+05   6.2389881E+05   8.3181259E+05   1.3258793E+04   1.8511722E+02   6.2465438E+05   6.2389881E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-05   6.2389834E+05   6.2389834E+05   8.3179838E+05   1.3258636E+04   1.8510240E+02   6.2465384E+05   6.2389834E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-05   6.2389775E+05   6.2389775E+05   8.3178049E+05   1.3258439E+04   1.8508375E+02   6.2465317E+05   6.2389775E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-05   6.2389701E+05   6.2389701E+05   8.3175797E+05   1.3258191E+04   1.8506026E+02   6.2465231E+05   6.2389701E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-05   6.2389608E+05   6.2389608E+05   8.3172961E+05   1.3257878E+04   1.8503069E+02   6.2465124E+05   6.2389608E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-05   6.2389491E+05   6.2389491E+05   8.3169392E+05   1.3257484E+04   1.8499347E+02   6.2464989E+05   6.2389491E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-05   6.2389343E+05   6.2389343E+05   8.3164898E+05   1.3256989E+04   1.8494662E+02   6.2464819E+05   6.2389343E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-05   6.2389157E+05   6.2389157E+05   8.3159242E+05   1.3256365E+04   1.8488764E+02   6.2464605E+05   6.2389157E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-05   6.2388923E+05   6.2388923E+05   8.3152121E+05   1.3255580E+04   1.8481340E+02   6.2464335E+05   6.2388923E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-05   6.2388628E+05   6.2388628E+05   8.3143157E+05   1.3254592E+04   1.8471996E+02   6.2463996E+05   6.2388628E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-05   6.2388258E+05   6.2388258E+05   8.3131874E+05   1.3253347E+04   1.8460235E+02   6.2463569E+05   6.2388258E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-05   6.2387791E+05   6.2387791E+05   8.3117671E+05   1.3251781E+04   1.8445434E+02   6.2463031E+05   6.2387791E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-05   6.2387203E+05   6.2387203E+05   8.3099794E+05   1.3249810E+04   1.8426806E+02   6.2462354E+05   6.2387203E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-04   6.2386463E+05   6.2386463E+05   8.3077293E+05   1.3247328E+04   1.8403367E+02   6.2461502E+05   6.2386463E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-04   6.2385532E+05   6.2385532E+05   8.3048973E+05   1.3244205E+04   1.8373875E+02   6.2460429E+05   6.2385532E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-04   6.2384360E+05   6.2384360E+05   8.3013333E+05   1.3240273E+04   1.8336775E+02   6.2459079E+05   6.2384360E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-04   6.2382884E+05   6.2382884E+05   8.2968485E+05   1.3235326E+04   1.8290112E+02   6.2457380E+05   6.2382884E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-04   6.2381027E+05   6.2381027E+05   8.2912055E+05   1.3229100E+04   1.8231435E+02   6.2455241E+05   6.2381027E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-04   6.2378690E+05   6.2378690E+05   8.2841063E+05   1.3221267E+04   1.8157674E+02   6.2452549E+05   6.2378690E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-04   6.2375748E+05   6.2375748E+05   8.2751767E+05   1.3211411E+04   1.8064986E+02   6.2449162E+05   6.2375748E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-04   6.2372046E+05   6.2372046E+05   8.2639473E+05   1.3199015E+04   1.7948572E+02   6.2444900E+05   6.2372046E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-04   6.2367389E+05   6.2367389E+05   8.2498299E+05   1.3183425E+04   1.7802445E+02   6.2439537E+05   6.2367389E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-04   6.2361528E+05   6.2361528E+05   8.2320879E+05   1.3163824E+04   1.7619164E+02   6.2432791E+05   6.2361528E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-04   6.2354157E+05   6.2354157E+05   8.2098008E+05   1.3139190E+04   1.7389503E+02   6.2424307E+05   6.2354157E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-04   6.2344886E+05   6.2344886E+05   8.1818202E+05   1.3108243E+04   1.7102077E+02   6.2413640E+05   6.2344886E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-04   6.2333230E+05   6.2333230E+05   8.1467166E+05   1.3069387E+04   1.6742913E+02   6.2400232E+05   6.2333230E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-04   6.2318580E+05   6.2318580E+05   8.1027165E+05   1.3020633E+04   1.6294982E+02   6.2383385E+05   6.2318580E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-04   6.2300175E+05   6.2300175E+05   8.0476277E+05   1.2959515E+04   1.5737730E+02   6.2362229E+05   6.2300175E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-04   6.2277063E+05   6.2277063E+05   7.9787543E+05   1.2882980E+04   1.5046653E+02   6.2335677E+05   6.2277063E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-04   6.2248060E+05   6.2248060E+05   7.8928025E+05   1.2787271E+04   1.4193044E+02   6.2302383E+05   6.2248060E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-04   6.2211697E+05   6.2211697E+05   7.7857814E+05   1.2667793E+04   1.3144058E+02   6.2260674E+05   6.2211697E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-04   6.2166150E+05   6.2166150E+05   7.6529096E+05   1.2518970E+04   1.1863410E+02   6.2208490E+05   6.2166150E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-04   6.2109177E+05   6.2109177E+05   7.4885420E+05   1.2334107E+04   1.0313109E+02   6.2143303E+05   6.2109177E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-03   6.2038027E+05   6.2038027E+05   7.2861471E+05   1.2105277E+04   8.4568779E+01   6.2062036E+05   6.2038027E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-03   6.1949351E+05   6.1949351E+05   7.0383777E+05   1.1823271E+04   6.2661141E+01   6.1960970E+05   6.1949351E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-03   6.1839115E+05   6.1839115E+05   6.7373006E+05   1.1477664E+04   3.7295089E+01   6.1835670E+05   6.1839115E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-03   6.1702506E+05   6.1702506E+05   6.3748807E+05   1.1057088E+04   8.6753109E+00   6.1680916E+05   6.1702506E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-03   6.1533874E+05   6.1533874E+05   5.9438400E+05   1.0549837E+04   -2.2472753E+01   6.1490684E+05   6.1533874E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-03   6.1326711E+05   6.1326711E+05   5.4390331E+05   9.9449466E+03   -5.4643879E+01   6.1258194E+05   6.1326711E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025982E-03   6.1073703E+05   6.1073703E+05   4.8594675E+05   9.2339506E+03   -8.5268390E+01   6.0976062E+05   6.1073703E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591540E-03   6.0766897E+05   6.0766897E+05   4.2110018E+05   8.4134596E+03   -1.1048858E+02   6.0636601E+05   6.0766897E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6470143E-03   6.0398013E+05   6.0398013E+05   3.5095194E+05   7.4886114E+03   -1.2517664E+02   6.0232286E+05   6.0398013E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9699989E-03   5.9958913E+05   5.9958913E+05   2.7838978E+05   6.4771265E+03   -1.2349913E+02   5.9756385E+05   5.9958913E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3323936E-03   5.9442214E+05   5.9442214E+05   2.0773425E+05   5.4131216E+03   -1.0043230E+02   5.9203640E+05   5.9442214E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7390071E-03   5.8841898E+05   5.8841898E+05   1.4447339E+05   4.3489331E+03   -5.4545450E+01   5.8570773E+05   5.8841898E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1952349E-03   5.8153701E+05   5.8153701E+05   9.4312380E+04   3.3521906E+03   8.2182622E+00   5.7856445E+05   5.8153701E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.7071310E-03   5.7374896E+05   5.7374896E+05   6.1371083E+04   2.4949855E+03   7.1493308E+01   5.7060202E+05   5.7374896E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2814879E-03   5.6503161E+05   5.6503161E+05   4.5846941E+04   1.8337286E+03   1.1012426E+02   5.6180252E+05   5.6503161E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9259269E-03   5.5534588E+05   5.5534588E+05   4.2398188E+04   1.3840609E+03   1.0152338E+02   5.5210675E+05   5.5534588E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   6.6489993E-03   5.4461816E+05   5.4461816E+05   4.1411879E+04   1.1048740E+03   4.6873925E+01   5.4140051E+05   5.4461816E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   7.4602999E-03   5.3273908E+05   5.3273908E+05   3.4618171E+04   9.1217759E+02   -1.3495264E+01   5.2953718E+05   5.3273908E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   8.3705942E-03   5.1959443E+05   5.1959443E+05   2.2251751E+04   7.3089489E+02   -2.3036967E+01   5.1639934E+05   5.1959443E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   9.3919611E-03   5.0510907E+05   5.0510907E+05   1.3111831E+04   5.5009142E+02   2.1633066E+01   5.0194370E+05   5.0510907E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.0537954E-02   4.8924988E+05   4.8924988E+05   1.2308994E+04   4.1195966E+02   4.2104137E+01   4.8615655E+05   4.8924988E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.1823779E-02   4.7196970E+05   4.7196970E+05   1.2047191E+04   3.2829414E+02   7.5434401E-01   4.6896475E+05   4.7196970E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.3266498E-02   4.5318477E+05   4.5318477E+05   6.8585206E+03   2.5657398E+02   -6.3080615E+00   4.5026861E+05   4.5318477E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.4885255E-02   4.3284430E+05   4.3284430E+05   5.1806359E+03   1.8983574E+02   2.4228057E+01   4.3004242E+05   4.3284430E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.6701531E-02   4.1094241E+05   4.1094241E+05   5.2450302E+03   1.4829038E+02   -3.9891617E+00   4.0826984E+05   4.1094241E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   1.8739426E-02   3.8748266E+05   3.8748266E+05   3.3421144E+03   1.1075545E+02   1.1251266E+01   3.8494912E+05   3.8748266E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.1025981E-02   3.6255457E+05   3.6255457E+05   4.1561726E+03   8.4471029E+01   1.2700747E+00   3.6017726E+05   3.6255457E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.3591515E-02   3.3633988E+05   3.3633988E+05   1.8116191E+03   6.3285347E+01   6.6433833E+00   3.3412680E+05   3.3633988E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.6469777E-02   3.0916872E+05   3.0916872E+05   1.0540242E+03   4.6935805E+01   5.5294883E-01   3.0712841E+05   3.0916872E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   2.9696307E-02   2.8157412E+05   2.8157412E+05   1.1909961E+03   3.4635993E+01   -2.8906831E-01   2.7971267E+05   2.8157412E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.3297505E-02   2.5438284E+05   2.5438284E+05   7.9188382E+02   2.4979928E+01   5.5579100E+00   2.5269958E+05   2.5438284E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   3.7251094E-02   2.2884768E+05   2.2884768E+05   5.4512823E+02   1.8162247E+01   5.3567561E+00   2.2733122E+05   2.2884768E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.1413906E-02   2.0657709E+05   2.0657709E+05   2.8501070E+02   1.3397685E+01   2.7768598E+00   2.0520702E+05   2.0657709E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.5525600E-02   1.8874339E+05   1.8874339E+05   2.4240916E+02   1.0052166E+01   1.5098925E+00   1.8749069E+05   1.8874339E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   4.9387658E-02   1.7517811E+05   1.7517811E+05   1.8166363E+02   7.8727398E+00   -3.1045611E-01   1.7401495E+05   1.7517811E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.2967249E-02   1.6481061E+05   1.6481061E+05   2.2294070E+02   6.2974992E+00   1.1158962E+00   1.6371605E+05   1.6481061E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.6318195E-02   1.5656888E+05   1.5656888E+05   7.7333402E+01   5.2173938E+00   1.1792996E+00   1.5552864E+05   1.5656888E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
   5.9505773E-02   1.4967734E+05   1.4967734E+05   8.7774743E+01   4.3884443E+00   9.7035536E-01   1.4868242E+05   1.4967734E+05   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00   0.0000000E+00
